symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
AVAAIUSDT,HID_BEAR,1.5,10.0,0.5342857142857144,bull_tested,1,14
AVAXUSDT,HID_BEAR,1.0,8.0,0.5878195488721805,all_weather,0,133
AVAXUSDT,REG_BULL,1.5,10.0,1.128,bull_tested,1,10
AVNTUSDT,HID_BEAR,2.0,9.0,2.292222222222222,bear_tested,1,9
AXLUSDT,HID_BEAR,2.0,7.0,1.3111764705882352,bear_tested,1,17
AXLUSDT,REG_BULL,1.0,4.0,0.9259999999999999,bear_tested,1,5
AXSUSDT,REG_BULL,1.0,9.0,0.9119999999999999,bull_tested,1,5
B3USDT,HID_BEAR,2.0,8.0,0.23857142857142857,bear_tested,1,14
B3USDT,REG_BULL,1.0,2.0,0.6457142857142857,bull_tested,1,7
BABYUSDT,HID_BEAR,1.0,10.0,1.406923076923077,bear_tested,1,13
BANANAUSDT,REG_BEAR,1.0,10.0,2.0357142857142856,bull_tested,1,7
BANANAUSDT,REG_BULL,1.5,9.0,0.953,bull_tested,1,10
BANKUSDT,HID_BULL,1.5,9.0,0.1925,bear_tested,1,8
BANUSDT,HID_BULL,1.5,10.0,1.8793333333333335,bear_tested,1,15
BBUSDT,HID_BEAR,1.5,8.0,2.632727272727273,bear_tested,1,22
BBUSDT,HID_BULL,2.0,9.0,0.845625,bull_tested,1,16
BELUSDT,REG_BEAR,2.0,10.0,1.16,bear_tested,1,5
BELUSDT,REG_BULL,1.0,7.0,2.34,bull_tested,1,7
BERAUSDT,HID_BULL,1.0,7.0,0.255,bull_tested,1,18
BICOUSDT,HID_BULL,1.0,8.0,0.654,bear_tested,1,5
BICOUSDT,REG_BEAR,2.0,9.0,1.2453846153846155,bear_tested,1,13
BIGTIMEUSDT,HID_BULL,1.0,4.0,1.9,bear_tested,1,10
BIOUSDT,HID_BULL,1.5,5.0,0.3876470588235294,bull_tested,1,17
BIOUSDT,REG_BEAR,1.0,5.0,1.487142857142857,bear_tested,1,7
BLASTUSDT,REG_BEAR,2.0,10.0,0.5142857142857143,bull_tested,1,7
BLESSUSDT,HID_BEAR,1.5,10.0,2.335384615384615,bear_tested,1,13
BLURUSDT,HID_BEAR,2.0,10.0,1.8780000000000001,bear_tested,1,15
BLURUSDT,REG_BULL,2.0,10.0,2.332307692307692,bull_tested,1,13
BNBUSDT,HID_BEAR,1.0,10.0,0.5652631578947368,bear_tested,1,19
BNBUSDT,HID_BULL,2.0,4.0,1.1992307692307693,bull_tested,1,26
BNTUSDT,REG_BEAR,2.0,10.0,0.3025,bull_tested,1,8
BOMEUSDT,REG_BEAR,2.0,4.0,1.46125,bear_tested,1,8
BRETTUSDT,HID_BULL,1.5,9.0,0.2906666666666667,bull_tested,1,15
BROCCOLIUSDT,HID_BULL,1.5,10.0,0.325,bull_tested,1,8
BROCCOLIUSDT,REG_BEAR,1.0,8.0,1.3718181818181818,bear_tested,1,11
BSVUSDT,REG_BULL,2.0,7.0,0.536,bear_tested,1,5
BTCUSDT,HID_BEAR,2.0,10.0,0.3426666666666666,bear_tested,1,15
BTCUSDT-26JUN26,REG_BEAR,2.0,10.0,0.7133333333333334,bear_tested,1,6
BUSDT,HID_BEAR,2.0,3.0,0.36823529411764705,bull_tested,1,17
C98USDT,HID_BEAR,1.0,9.0,0.71,bear_tested,1,11
C98USDT,REG_BULL,1.5,10.0,0.325,bull_tested,1,8
CAKEUSDT,REG_BEAR,1.5,9.0,2.2373333333333334,bear_tested,1,15
CAKEUSDT,REG_BULL,2.0,7.0,1.34,bull_tested,1,10
CAMPUSDT,HID_BEAR,2.0,9.0,1.8314285714285714,bear_tested,1,7
CARVUSDT,HID_BEAR,1.0,10.0,0.25916666666666666,bear_tested,1,24
CATIUSDT,REG_BEAR,2.0,8.0,0.706,bear_tested,1,10
CATIUSDT,REG_BULL,2.0,10.0,0.34625,bull_tested,1,8
CELOUSDT,HID_BEAR,1.5,9.0,2.054375,bear_tested,1,16
CELOUSDT,REG_BULL,2.0,5.0,1.3519999999999999,bull_tested,1,5
